tempo
243,148
217,933
418,609
295,415
277,703
241,739
161,526
264,321
348,782
179,332
271,961
254,708
342,308
77,327
551,495
13,5351
86,5134
331,078
209,532
207,746
358,368
420,18
453,301
331,536
225,022
263,47
306,809
335,719
195,173
44,5536
183,491
203,982
277,259
31,7705
268,269
559,208
435,714
171,95
134,746
166,25
189,619
639,448
67,5299
62,8342
199,456
145,358
111,782
288,209
219,35
137,468
124,05
116,495
295,31
397,613
291,004
74,4448
207,15
80,0295
93,2334
47,4313
151,54
312,551
299,798
257,541
148,937
84,3114
372,582
114,306
86,5315
216,169
23,0431
149,854
189,894
67,7677
276,403
103,772
212,689
179,859
149,938
224,393
404,458
316,281
264,088
47,2083
323,893
370,054
356,209
178,823
206,428
108,386
55,6546
183,364
361,241
20,681
116,934
129,299
369,709
474,625
170,507
358,694
